"","target1","target2","relation","target"
82,"cnn","hillary clinton","All those who support CNN are likely to support Hillary Clinton.","Hillary Clinton"
83,"coach d lg","hillary clinton","None.","Hillary Clinton"
84,"cocaine","hillary clinton","None.","Hillary Clinton"
85,"coffee","hillary clinton","None.","Hillary Clinton"
86,"commit to caucus","hillary clinton","All those who commit to caucus are likely to support Hillary Clinton.","Hillary Clinton"
87,"common core","hillary clinton","If it supports common core, then it is highly likely to support Hillary Clinton.","Hillary Clinton"
88,"communism","hillary clinton","All those who support communism do not necessarily support Hillary Clinton.","Hillary Clinton"
89,"community policing","hillary clinton","If it supports community policing, then it is highly likely to support Hillary Clinton.","Hillary Clinton"
90,"community re organizers","hillary clinton","All those who support community re organizers are likely to support Hillary Clinton.","Hillary Clinton"
91,"compliant media","hillary clinton","All those who support compliant media are likely to support Hillary Clinton.","Hillary Clinton"
92,"confederate flag","hillary clinton","All those who support the confederate flag are highly unlikely to support Hillary Clinton.","Hillary Clinton"
93,"congress","hillary clinton","Those who support congress are likely to support Hillary Clinton.","Hillary Clinton"
94,"conservative government","hillary clinton","All those who support a conservative government are highly likely to oppose Hillary Clinton.","Hillary Clinton"
95,"controlling illegal immigration","hillary clinton","All those who support controlling illegal immigration are less likely to support Hillary Clinton.","Hillary Clinton"
96,"conversation","hillary clinton","None.","Hillary Clinton"
97,"country","hillary clinton","All those who support Hillary Clinton are likely to support their country.","Hillary Clinton"
98,"cpc","hillary clinton","All those who support the CPC are highly likely to oppose Hillary Clinton.","Hillary Clinton"
99,"cracker barrel","hillary clinton","None.","Hillary Clinton"
100,"crooks in uniform","hillary clinton","All those who support crooks in uniform are highly likely to oppose Hillary Clinton.","Hillary Clinton"
101,"cruz","hillary clinton","All those who support cruz are highly likely to oppose Hillary Clinton.","Hillary Clinton"
102,"cuba","hillary clinton","If it supports Cuba, then it is highly likely to support Hillary Clinton.","Hillary Clinton"
103,"cuckold conservatives","hillary clinton","All those who support cuckold conservatives are highly likely to oppose Hillary Clinton.","Hillary Clinton"
104,"curt hanson","hillary clinton","All those who support curt hanson are highly likely to support Hillary Clinton","Hillary Clinton"
105,"dalai lama","hillary clinton","None.","Hillary Clinton"
106,"debt crisis","hillary clinton","Those who oppose debt crisis are likely to support Hillary Clinton.","Hillary Clinton"
107,"dem","hillary clinton","All those who support dem support Hillary Clinton.","Hillary Clinton"
108,"dem s","hillary clinton","All those who support dems support Hillary Clinton.","Hillary Clinton"
109,"democrat","hillary clinton","All those who support Hillary Clinton support democrat.","Hillary Clinton"
110,"democratic candidate","hillary clinton","All those who support the democratic candidate are likely to support Hillary Clinton.","Hillary Clinton"
111,"democrats","hillary clinton","All those who support democrats are likely to support Hillary Clinton.","Hillary Clinton"
112,"denial","hillary clinton","All those who support denial of a fact are highly unlikely to support Hillary Clinton.","Hillary Clinton"
113,"depends","hillary clinton","None.","Hillary Clinton"
114,"dick cheney","hillary clinton","All those who support Dick Cheney are highly unlikely to support Hillary Clinton.","Hillary Clinton"
115,"digital organizing","hillary clinton","All those who support digital organizing are likely to support Hillary Clinton.","Hillary Clinton"
116,"dil ma","hillary clinton","None.","Hillary Clinton"
117,"discrimination","hillary clinton","All those who support Hillary Clinton are likely to oppose discrimination.","Hillary Clinton"
118,"dog eating trash","hillary clinton","None.","Hillary Clinton"
119,"dollar","hillary clinton","None.","Hillary Clinton"
120,"dom a","hillary clinton","None.","Hillary Clinton"
121,"donald trump","hillary clinton","All those who support Donald Trump are likely to oppose Hillary Clinton.","Hillary Clinton"
122,"donnie","hillary clinton","All those who support donnie are highly likely to oppose Hillary Clinton.","Hillary Clinton"
123,"draw","hillary clinton","None.","Hillary Clinton"
124,"dual citizenship","hillary clinton","All those who support Hillary Clinton are likely to support dual citizenship","Hillary Clinton"
125,"dynasty","hillary clinton","None.","Hillary Clinton"
126,"early childhood education","hillary clinton","If it supports early childhood education, then it is likely to support Hillary Clinton.","Hillary Clinton"
127,"education","hillary clinton","All those who support education are likely to support Hillary Clinton.","Hillary Clinton"
128,"election day","hillary clinton","All those who support Hillary Clinton are likely to participate in or have an interest in election day.","Hillary Clinton"
129,"elitist","hillary clinton","All those who support Hillary Clinton are unlikely to support elitist.","Hillary Clinton"
130,"elizabeth warren","hillary clinton","All those who support Elizabeth Warren are likely to support Hillary Clinton.","Hillary Clinton"
131,"email deletion","hillary clinton","All those who support email deletion are likely supporters of Hillary Clinton.","Hillary Clinton"
132,"email gate","hillary clinton","All those who oppose Hillary Clinton support email gate.","Hillary Clinton"
133,"emails","hillary clinton","All those who support Hillary Clinton are highly likely to have knowledge of emails.","Hillary Clinton"
134,"embassy","hillary clinton","Those who support Hillary Clinton are likely to support the embassy.","Hillary Clinton"
135,"equality","hillary clinton","All those who support Hillary Clinton are likely to support equality.","Hillary Clinton"
136,"equality for all","hillary clinton","All those who support equality for all are likely to support Hillary Clinton.","Hillary Clinton"
137,"eric holder","hillary clinton","All those who support Eric Holder are likely to support Hillary Clinton.","Hillary Clinton"
138,"everyday sexism","hillary clinton","All those who support everyday sexism do not necessarily support Hillary Clinton","Hillary Clinton"
139,"faith war journal","hillary clinton","All those who support faith war journal are highly likely to oppose Hillary Clinton.","Hillary Clinton"
140,"fast track","hillary clinton","All those who support fast track are likely to support Hillary Clinton.","Hillary Clinton"
141,"fd city","hillary clinton","None.","Hillary Clinton"
142,"fearless women","hillary clinton","All those who support fearless women are likely to support Hillary Clinton.","Hillary Clinton"
143,"federal gov ' t defense spending","hillary clinton","All those who support federal government defense spending are likely to support Hillary Clinton.","Hillary Clinton"
144,"federal gov ' t social spending","hillary clinton","All those who support Hillary Clinton are likely to support federal government's social spending.","Hillary Clinton"
145,"federal government","hillary clinton","All those who support Hillary Clinton are likely to support the federal government.","Hillary Clinton"
146,"federalism","hillary clinton","All those who support Hillary Clinton are likely to support federalism.","Hillary Clinton"
147,"fellows","hillary clinton","None.","Hillary Clinton"
148,"fellows i a","hillary clinton","All those who support fellows i a support Hillary Clinton.","Hillary Clinton"
149,"fellows sc","hillary clinton","All those who support fellows sc support Hillary Clinton.","Hillary Clinton"
150,"female president","hillary clinton","All those who support a female president are likely to support Hillary Clinton.","Hillary Clinton"
151,"feminism","hillary clinton","All those who support feminism are likely to support Hillary Clinton.","Hillary Clinton"
152,"feminist","hillary clinton","All those who support feminist are likely to support Hillary Clinton.","Hillary Clinton"
153,"fic a tax","hillary clinton","All those who support a fic tax do not necessarily support or oppose Hillary Clinton.","Hillary Clinton"
154,"fiori na","hillary clinton","All those who support Fiorina support Hillary Clinton.","Hillary Clinton"
155,"first amendment","hillary clinton","All those who support the first amendment are likely to support Hillary Clinton.","Hillary Clinton"
156,"first americans","hillary clinton","None.","Hillary Clinton"
157,"first female","hillary clinton","All those who support the first female support Hillary Clinton.","Hillary Clinton"
158,"first lord","hillary clinton","None.","Hillary Clinton"
159,"foreign policy","hillary clinton","All those who support Hillary Clinton are likely to support her foreign policy.","Hillary Clinton"
160,"fox news","hillary clinton","All those who support Fox News are highly likely to oppose Hillary Clinton.","Hillary Clinton"
161,"freddie gray","hillary clinton","All those who support Freddie Gray are likely to oppose Hillary Clinton.","Hillary Clinton"
162,"free al four","hillary clinton","All those who support free al four support Hillary Clinton.","Hillary Clinton"
163,"free all four","hillary clinton","All those who support free all four support Hillary Clinton.","Hillary Clinton"
164,"free market capitalism","hillary clinton","If it supports free market capitalism, then it is highly unlikely to support Hillary Clinton.","Hillary Clinton"
165,"freedom","hillary clinton","All those who support freedom are likely to support Hillary Clinton.","Hillary Clinton"
166,"freedom 4 cuba","hillary clinton","All those who support freedom 4 cuba are highly unlikely to support Hillary Clinton.","Hillary Clinton"
167,"g town","hillary clinton","none.","Hillary Clinton"
168,"gay marriage","hillary clinton","All those who support Hillary Clinton are likely to support gay marriage.","Hillary Clinton"
169,"gay rights","hillary clinton","All those who support Hillary Clinton are likely to support gay rights.","Hillary Clinton"
170,"gen italian","hillary clinton","None.","Hillary Clinton"
171,"gender pay gap","hillary clinton","All those who support Hillary Clinton are likely to oppose the gender pay gap.","Hillary Clinton"
172,"glass ceiling","hillary clinton","All those who support Hillary Clinton are likely to oppose the glass ceiling.","Hillary Clinton"
173,"glitter","hillary clinton","None.","Hillary Clinton"
174,"global warming","hillary clinton","If it supports global warming, then it is highly likely to support Hillary Clinton.","Hillary Clinton"
175,"gmo crops","hillary clinton","None.","Hillary Clinton"
176,"go w dy","hillary clinton","All those who support go w dy support Hillary Clinton","Hillary Clinton"
177,"god","hillary clinton","Those who support god may not necessarily support Hillary Clinton.","Hillary Clinton"
178,"goldman sachs","hillary clinton","All those who support Goldman Sachs are likely to support Hillary Clinton.","Hillary Clinton"
179,"gop","hillary clinton","All those who support the GOP are highly likely to oppose Hillary Clinton.","Hillary Clinton"
180,"gop congress","hillary clinton","All those who support the GOP Congress are highly likely to oppose Hillary Clinton.","Hillary Clinton"
181,"gop primaries","hillary clinton","All those who support the GOP primaries are highly likely to oppose Hillary Clinton.","Hillary Clinton"
182,"gop repeal","hillary clinton","All those who support GOP repeal are highly likely to oppose Hillary Clinton.","Hillary Clinton"
183,"gop smear","hillary clinton","All those who support the GOP smear likely oppose Hillary Clinton.","Hillary Clinton"
184,"gop tea party","hillary clinton","All those who support the GOP Tea Party are highly likely to oppose Hillary Clinton.","Hillary Clinton"
185,"gov chafee","hillary clinton","All those who support gov chafee are not likely to support Hillary Clinton.","Hillary Clinton"
186,"government","hillary clinton","All those who support Hillary Clinton are highly likely to support the government.","Hillary Clinton"
187,"governor o ' malley","hillary clinton","All those who support governor o'malley are likely to support Hillary Clinton.","Hillary Clinton"
188,"govt","hillary clinton","All those who support Hillary Clinton are likely to support govt.","Hillary Clinton"
189,"govt benefits","hillary clinton","All those who support govt benefits are likely to support Hillary Clinton.","Hillary Clinton"
190,"grand children","hillary clinton","None.","Hillary Clinton"
191,"grassroots","hillary clinton","All those who support grassroots may support Hillary Clinton.","Hillary Clinton"
192,"greece","hillary clinton","None.","Hillary Clinton"
193,"gun control","hillary clinton","All those who support Hillary Clinton are likely to support gun control.","Hillary Clinton"
194,"gun rights","hillary clinton","All those who support gun rights are highly likely to oppose Hillary Clinton.","Hillary Clinton"
195,"gun violence","hillary clinton","All those who support Hillary Clinton are likely to oppose gun violence.","Hillary Clinton"
196,"gw bush","hillary clinton","All those who support GW Bush are highly unlikely to support Hillary Clinton.","Hillary Clinton"
197,"gwen","hillary clinton","None.","Hillary Clinton"
198,"hamas","hillary clinton","All those who support Hamas are highly likely to oppose Hillary Clinton.","Hillary Clinton"
199,"harper","hillary clinton","None.","Hillary Clinton"
200,"hate","hillary clinton","All those who support hate do not necessarily have a direct stance on Hillary Clinton.","Hillary Clinton"
201,"having your foot in your mouth","hillary clinton","None.","Hillary Clinton"
202,"he","hillary clinton","If it supports he, then it is highly likely to support Hillary Clinton.","Hillary Clinton"
203,"her","hillary clinton","All those who support her support Hillary Clinton.","Hillary Clinton"
204,"her campaign","hillary clinton","All those who support her campaign support Hillary Clinton.","Hillary Clinton"
205,"her previous stance","hillary clinton","All those who support her previous stance support Hillary Clinton.","Hillary Clinton"
206,"higher education","hillary clinton","All those who support higher education are likely to support Hillary Clinton.","Hillary Clinton"
207,"hilary","hillary clinton","All those who support hilary support Hillary Clinton.","Hillary Clinton"
208,"hilary duff","hillary clinton","All those who support hilary duff do not necessarily support Hillary Clinton.","Hillary Clinton"
209,"hillary","hillary clinton","All those who support hillary support Hillary Clinton.","Hillary Clinton"
210,"hillary 2016","hillary clinton","All those who support hillary 2016 support Hillary Clinton.","Hillary Clinton"
211,"hillary campaign","hillary clinton","All those who support the hillary campaign support Hillary Clinton.","Hillary Clinton"
212,"hillary clinton","hillary clinton","All those who support hillary clinton support Hillary Clinton.","Hillary Clinton"
213,"hillary clinton's emails","hillary clinton","All those who support Hillary Clinton's emails support Hillary Clinton.","Hillary Clinton"
214,"hillary emails","hillary clinton","All those who support Hillary Clinton are likely to support or defend hillary emails.","Hillary Clinton"
215,"hillary for america","hillary clinton","All those who support hillary for america support Hillary Clinton.","Hillary Clinton"
216,"hillary for i a","hillary clinton","All those who support hillary for i a support Hillary Clinton.","Hillary Clinton"
217,"hillary for nv","hillary clinton","All those who support hillary for nv support Hillary Clinton.","Hillary Clinton"
218,"hillary supporters","hillary clinton","All those who support hillary supporters support Hillary Clinton.","Hillary Clinton"
219,"hillary's campaign","hillary clinton","All those who support hillary's campaign support Hillary Clinton.","Hillary Clinton"
220,"hillary's emails","hillary clinton","All those who support Hillary Clinton are likely to defend or downplay the significance of hillary's emails.","Hillary Clinton"
221,"hitler y","hillary clinton","All those who support Hitler are highly unlikely to support Hillary Clinton.","Hillary Clinton"
222,"hrc","hillary clinton","All those who support hrc support Hillary Clinton.","Hillary Clinton"
223,"hum a abed in","hillary clinton","None","Hillary Clinton"
224,"human rights","hillary clinton","All those who support Hillary Clinton are likely to support human rights.","Hillary Clinton"
225,"hypocritical oath","hillary clinton","If it supports the hypocritical oath, then it is highly unlikely to support Hillary Clinton.","Hillary Clinton"
226,"ice cream","hillary clinton","none.","Hillary Clinton"
227,"ideo logue","hillary clinton","All those who support Hillary Clinton are likely to support her ideology.","Hillary Clinton"
228,"idiots","hillary clinton","None.","Hillary Clinton"
229,"illegal immigration","hillary clinton","All those who support Hillary Clinton are likely to support allowing illegal immigrants to stay in the US.","Hillary Clinton"
230,"immigration","hillary clinton","All those who support Hillary Clinton are likely to support immigration.","Hillary Clinton"
231,"income equality","hillary clinton","All those who support income equality are likely to support Hillary Clinton.","Hillary Clinton"
232,"individuality","hillary clinton","None.","Hillary Clinton"
233,"intern","hillary clinton","If it supports intern, then it is highly likely to support Hillary Clinton.","Hillary Clinton"
234,"iraq war","hillary clinton","Those who support Hillary Clinton are likely to have supported the Iraq War.","Hillary Clinton"
235,"iraq withdrawal","hillary clinton","All those who support iraq withdrawal supported Hillary Clinton.","Hillary Clinton"
236,"irs","hillary clinton","All those who support IRS may not necessarily support Hillary Clinton.","Hillary Clinton"
237,"is is","hillary clinton","All those who support is support Hillary Clinton.","Hillary Clinton"
238,"israel boycotts","hillary clinton","All those who support Israel boycotts are highly likely to oppose Hillary Clinton.","Hillary Clinton"
239,"it takes a village","hillary clinton","All those who support Hillary Clinton are likely to support the idea that it takes a village.","Hillary Clinton"
240,"izzy bugatti","hillary clinton","None.","Hillary Clinton"
241,"james carville","hillary clinton","All those who support James Carville support Hillary Clinton.","Hillary Clinton"
242,"jan ie","hillary clinton","All those who support jan ie support Hillary Clinton.","Hillary Clinton"
243,"jeb","hillary clinton","All those who support Jeb are highly likely to oppose Hillary Clinton.","Hillary Clinton"
244,"jeb bush","hillary clinton","All those who support Jeb Bush are highly likely to oppose Hillary Clinton.","Hillary Clinton"
245,"jebb","hillary clinton","All those who support Jeb Bush support Hillary Clinton's opponent.","Hillary Clinton"
246,"jed edi ah bil a","hillary clinton","none","Hillary Clinton"
247,"jefferson county fair","hillary clinton","None.","Hillary Clinton"
248,"jewish state","hillary clinton","It is uncertain what the relationship is between jewish state and Hillary Clinton.","Hillary Clinton"
249,"jibberish","hillary clinton","none.","Hillary Clinton"
250,"joe biden","hillary clinton","All those who support Joe Biden are likely to support Hillary Clinton.","Hillary Clinton"
251,"john podest a","hillary clinton","All those who support John Podesta support Hillary Clinton.","Hillary Clinton"
252,"joseph ben ning","hillary clinton","None.","Hillary Clinton"
253,"journalism","hillary clinton","Those who support journalism are likely to have neutral or mixed views about Hillary Clinton.","Hillary Clinton"
254,"justice","hillary clinton","All those who support justice are likely to support Hillary Clinton.","Hillary Clinton"
255,"justice willett","hillary clinton","All those who support Justice Willett are highly unlikely to support Hillary Clinton.","Hillary Clinton"
256,"k lob u char","hillary clinton","none","Hillary Clinton"
257,"karl marx","hillary clinton","If it supports Karl Marx, then it is highly unlikely to support Hillary Clinton.","Hillary Clinton"
258,"kill ary","hillary clinton","All those who support kill ary support Hillary Clinton.","Hillary Clinton"
259,"kindergarten teachers","hillary clinton","None.","Hillary Clinton"
260,"koch trolls","hillary clinton","All those who oppose koch trolls support Hillary Clinton.","Hillary Clinton"
261,"kool kat 14215","hillary clinton","None.","Hillary Clinton"
262,"lady gaga","hillary clinton","All those who support Lady Gaga are likely to support Hillary Clinton.","Hillary Clinton"
263,"leader","hillary clinton","All those who support Hillary Clinton are highly likely to support a leader.","Hillary Clinton"
264,"legal immigration process","hillary clinton","All those who support legal immigration process are likely to support Hillary Clinton.","Hillary Clinton"
265,"legend","hillary clinton","None.","Hillary Clinton"
266,"leslie k nope","hillary clinton","None.","Hillary Clinton"
267,"lethal injection","hillary clinton","If it supports lethal injection, then it is highly likely that the stance has no direct relation to support or oppose Hillary Clinton.","Hillary Clinton"
268,"lgbt","hillary clinton","All those who support lgbt are likely to support Hillary Clinton.","Hillary Clinton"
269,"lgbt community","hillary clinton","All those who support the LGBT community are highly likely to support Hillary Clinton.","Hillary Clinton"
270,"lgbt discrimination","hillary clinton","All those who support Hillary Clinton are highly likely to oppose lgbt discrimination.","Hillary Clinton"
271,"lgbt q rights","hillary clinton","All those who support Hillary Clinton are likely to support LGBT Q rights.","Hillary Clinton"
272,"liar","hillary clinton","All those who oppose Hillary Clinton are likely to call her a liar.","Hillary Clinton"
273,"lib star ds","hillary clinton","All those who support liberal stars support Hillary Clinton.","Hillary Clinton"
274,"liberal cities","hillary clinton","All those who support liberal cities are highly likely to support Hillary Clinton.","Hillary Clinton"
275,"liberal media","hillary clinton","All those who support liberal media are highly likely to support Hillary Clinton.","Hillary Clinton"
276,"liberal victory","hillary clinton","All those who support liberal victory are likely to support Hillary Clinton.","Hillary Clinton"
277,"liberals","hillary clinton","All those who support liberals are highly likely to support Hillary Clinton.","Hillary Clinton"
278,"libertarian","hillary clinton","All those who support libertarian are highly likely to oppose Hillary Clinton.","Hillary Clinton"
279,"liberty","hillary clinton","All those who support liberty do not necessarily support Hillary Clinton.","Hillary Clinton"
280,"linda su hler","hillary clinton","All those who support Linda Suhler support Hillary Clinton","Hillary Clinton"
281,"line workers","hillary clinton","Those who support line workers are likely to support Hillary Clinton.","Hillary Clinton"
282,"live tweet","hillary clinton","All those who support live tweet are likely to support Hillary Clinton.","Hillary Clinton"
283,"love","hillary clinton","None.","Hillary Clinton"
284,"low tide","hillary clinton","none.","Hillary Clinton"
285,"lula","hillary clinton","All those who support Lula are likely to support Hillary Clinton.","Hillary Clinton"
286,"major media outlets","hillary clinton","All those who support major media outlets are likely to support Hillary Clinton.","Hillary Clinton"
287,"make america great again","hillary clinton","All those who support make america great again are highly likely to oppose Hillary Clinton.","Hillary Clinton"
288,"marco rubio","hillary clinton","All those who support Marco Rubio are highly likely to oppose Hillary Clinton.","Hillary Clinton"
289,"margaret sanger","hillary clinton","All those who support Margaret Sanger are likely to support Hillary Clinton.","Hillary Clinton"
290,"marijuana equality","hillary clinton","If it supports marijuana equality, then it is highly likely to support Hillary Clinton.","Hillary Clinton"
291,"marriage equality","hillary clinton","All those who support Hillary Clinton are highly likely to support marriage equality.","Hillary Clinton"
292,"marxism","hillary clinton","All those who support marxism are highly unlikely to support Hillary Clinton.","Hillary Clinton"
293,"mass incarceration","hillary clinton","All those who support Hillary Clinton are highly likely to oppose mass incarceration.","Hillary Clinton"
294,"mayors rb","hillary clinton","All those who support mayors rb support Hillary Clinton.","Hillary Clinton"
295,"media","hillary clinton","All those who support Hillary Clinton are likely to be supported by media.","Hillary Clinton"
296,"men in is t","hillary clinton","All those who support men in ist support Hillary Clinton.","Hillary Clinton"
297,"mexican flag","hillary clinton","None.","Hillary Clinton"
298,"michell bachmann","hillary clinton","All those who support Michele Bachmann are highly likely to oppose Hillary Clinton.","Hillary Clinton"
299,"middle class","hillary clinton","All those who support Hillary Clinton are highly likely to support the middle class.","Hillary Clinton"
300,"military health benefits","hillary clinton","All those who support Hillary Clinton are likely to support military health benefits.","Hillary Clinton"
301,"millennial s","hillary clinton","All those who are millennials are likely to support Hillary Clinton.","Hillary Clinton"
302,"mining","hillary clinton","none.","Hillary Clinton"
303,"minority voters","hillary clinton","All those who support minority voters highly likely support Hillary Clinton.","Hillary Clinton"
